Aktie,Makro,Ticker,Korr@Lag0,Bester Lag,Max |Korr|,Korrelation,Richtung
ALV,S&P 500,^GSPC,0.979,0,0.979,0.979,positiv
ALV,DAX,^GDAXI,0.976,0,0.976,0.976,positiv
ALV,MSCI World ETF,URTH,0.973,0,0.973,0.973,positiv
ALV,NASDAQ 100,^NDX,0.972,0,0.972,0.972,positiv
ALV,Dow Jones,^DJI,0.968,0,0.968,0.968,positiv
ALV,Bitcoin,BTC-USD,0.927,2,0.938,0.938,positiv
ALV,US Inflation CPI,CPIAUCSL,0.926,12,0.93,0.93,positiv
ALV,EU Inflation HICP,CP0000EZ19M086NEST,0.917,12,0.926,0.926,positiv
ALV,CAC 40,^FCHI,0.9,0,0.9,0.9,positiv
ALV,FTSE 100,^FTSE,0.89,0,0.89,0.89,positiv
ALV,Euro Stoxx 50,^STOXX50E,0.881,0,0.881,0.881,positiv
ALV,Gold,GC=F,0.872,0,0.872,0.872,positiv
ALV,USD-Index (DXY),DX=F,0.718,12,0.813,0.813,positiv
ALV,USD/JPY,JPY=X,0.803,0,0.803,0.803,positiv
ALV,GBP/USD,GBPUSD=X,-0.631,12,0.718,-0.718,negativ
ALV,EUR/USD,EURUSD=X,-0.593,12,0.712,-0.712,negativ
ALV,Kupfer,HG=F,0.623,0,0.623,0.623,positiv
ALV,Silber,SI=F,0.609,0,0.609,0.609,positiv
ALV,USD/CHF,CHF=X,-0.601,0,0.601,-0.601,negativ
ALV,Palladium,PA=F,0.569,0,0.569,0.569,positiv
ALV,Platin,PL=F,-0.131,12,0.484,-0.484,negativ
ALV,Erdgas,NG=F,-0.359,12,0.418,-0.418,negativ
ALV,US 5J Rendite,^FVX,0.254,0,0.254,0.254,positiv
ALV,Brent Rohöl,BZ=F,-0.215,3,0.245,-0.245,negativ
ALV,US 30J Rendite,^TYX,-0.014,12,0.172,-0.172,negativ
ALV,VIX,^VIX,-0.115,3,0.12,-0.12,negativ
ALV,WTI Rohöl,CL=F,-0.084,3,0.112,-0.112,negativ
ALV,US 10J Rendite,^TNX,0.104,0,0.104,0.104,positiv
ALV,USD/CNY,CNY=X,-0.032,12,0.049,-0.049,negativ
AMZN,NASDAQ 100,^NDX,0.978,0,0.978,0.978,positiv
AMZN,S&P 500,^GSPC,0.972,0,0.972,0.972,positiv
AMZN,Dow Jones,^DJI,0.971,0,0.971,0.971,positiv
AMZN,MSCI World ETF,URTH,0.954,0,0.954,0.954,positiv
AMZN,DAX,^GDAXI,0.929,0,0.929,0.929,positiv
AMZN,US Inflation CPI,CPIAUCSL,0.913,0,0.913,0.913,positiv
AMZN,Bitcoin,BTC-USD,0.897,0,0.897,0.897,positiv
AMZN,EU Inflation HICP,CP0000EZ19M086NEST,0.884,12,0.891,0.891,positiv
AMZN,CAC 40,^FCHI,0.843,0,0.843,0.843,positiv
AMZN,Gold,GC=F,0.821,3,0.828,0.828,positiv
AMZN,USD-Index (DXY),DX=F,0.715,12,0.795,0.795,positiv
AMZN,FTSE 100,^FTSE,0.779,0,0.779,0.779,positiv
AMZN,GBP/USD,GBPUSD=X,-0.695,12,0.777,-0.777,negativ
AMZN,Euro Stoxx 50,^STOXX50E,0.774,0,0.774,0.774,positiv
AMZN,Palladium,PA=F,0.733,0,0.733,0.733,positiv
AMZN,EUR/USD,EURUSD=X,-0.606,12,0.701,-0.701,negativ
AMZN,USD/JPY,JPY=X,0.698,0,0.698,0.698,positiv
AMZN,USD/CHF,CHF=X,-0.612,0,0.612,-0.612,negativ
AMZN,Kupfer,HG=F,0.596,0,0.596,0.596,positiv
AMZN,Silber,SI=F,0.548,0,0.548,0.548,positiv
AMZN,Platin,PL=F,-0.222,12,0.51,-0.51,negativ
AMZN,Erdgas,NG=F,-0.384,12,0.478,-0.478,negativ
AMZN,US 30J Rendite,^TYX,-0.191,12,0.34,-0.34,negativ
